ID,Age,IQ,Q1,Q2,Q3,Q4,Q5,Time Seconds,Label
408,10,4,N,Y,Y,Y,Y,511,N
409,10,2,Y,Y,N,Y,N,229,N
410,10,4,N,Y,Y,Y,N,490,N
411,10,5,Y,N,Y,N,Y,238,N
412,10,4,Y,N,N,,N,461,N
413,10,3,Y,Y,Y,Y,N,434,N
414,10,4,Y,Y,Y,Y,N,231,N
415,10,5,Y,Y,N,,Y,130,N
416,10,4,Y,Y,Y,,N,331,N
417,10,3,Y,Y,Y,Y,Y,542,N
418,10,4,N,N,Y,N,Y,328,Y
419,10,3,Y,N,Y,Y,Y,490,N
420,10,4,Y,Y,Y,Y,Y,341,N
